rok,miesiac,dzien,max_temp,min_temp,sr_temp,min_temp_grunt,suma_opad,rodz_opad,sr_zachm,sr_predk_wiatr,sr_cisn,sr_wilg,sr_cisn_stacja,sr_cisn_morze,opad_dzien,opad_noc
2011,2,17,-3.6,-8.2,-5.4,-8.8,0.4,S,6.6,7.3,3.2,76.0,1000.8,1014.5,0.0,0.4
2011,2,18,-2.4,-3.9,-3.1,-4.1,2.2,S,8.0,4.8,4.5,91.4,1002.4,1016.0,0.3,1.9
2011,2,19,-2.5,-5.0,-4.0,-5.4,0.4,S,8.0,2.8,4.3,93.0,1004.8,1018.5,0.3,0.1
2011,2,20,-5.0,-11.1,-9.7,-12.2,0.2,S,7.1,3.8,2.6,87.0,1008.1,1022.1,0.2,0.0
2011,2,21,-6.9,-18.0,-12.9,-21.0,0.0,,4.3,2.1,1.9,82.8,1011.5,1025.7,0.0,0.0
2011,2,22,-9.0,-17.2,-13.4,-21.0,0.0,S,2.6,2.9,1.8,82.8,1011.0,1025.3,0.0,0.0
2011,2,23,-9.0,-16.5,-12.8,-19.0,0.0,S,6.0,2.1,1.9,82.3,1015.2,1029.5,0.0,0.0
2011,2,24,-4.4,-17.6,-11.3,-21.7,0.0,S,2.3,1.3,2.1,81.0,1019.7,1033.9,0.0,0.0
2011,2,25,-5.1,-14.9,-9.9,-18.2,0.0,,0.9,2.5,2.3,79.6,1022.3,1036.6,0.0,0.0
2011,2,26,-2.9,-10.8,-6.0,-14.2,0.0,,6.4,3.6,3.1,78.5,1016.9,1030.8,0.0,0.0
2011,2,27,-1.5,-5.6,-4.0,-7.1,0.0,,4.1,6.0,3.6,79.1,1009.5,1023.3,0.0,0.0
2011,2,28,0.7,-9.4,-5.0,-10.4,0.0,,0.8,4.5,3.2,74.9,1017.8,1031.7,0.0,0.0
2011,3,1,1.6,-10.4,-4.7,-14.1,0.0,,0.0,1.4,3.0,70.3,1025.0,1039.0,0.0,0.0
2011,3,2,4.4,-11.5,-3.0,-14.0,0.0,,0.0,1.5,2.8,61.3,1026.6,1040.5,0.0,0.0
