,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
58,249180130,CIESZYN,2012,1,28,0.0,,-12.4,,-7.7,,-12.8,,0.0,9.0,,3,
59,249180130,CIESZYN,2012,1,29,-7.0,,-12.4,,-10.7,,-13.9,,0.0,9.0,,3,
60,249180130,CIESZYN,2012,1,30,-6.1,,-16.7,,-12.5,,-18.1,,0.0,9.0,,3,
61,249180130,CIESZYN,2012,1,31,-9.3,,-16.9,,-14.0,,-18.1,,0.0,9.0,,3,
62,249180160,BRENNA,2012,1,1,2.7,,-2.5,,0.8,,-4.9,,0.0,9.0,,1,
63,249180160,BRENNA,2012,1,2,9.8,,2.5,,6.0,,1.4,,5.0,,W,0,9.0
64,249180160,BRENNA,2012,1,3,7.3,,3.4,,4.9,,1.4,,0.2,,W,0,9.0
65,249180160,BRENNA,2012,1,4,7.5,,4.5,,5.6,,3.1,,9.4,,W,0,9.0
66,249180160,BRENNA,2012,1,5,4.5,,1.3,,2.6,,0.7,,9.5,,S,0,9.0
67,249180160,BRENNA,2012,1,6,4.2,,0.7,,1.8,,0.0,,4.1,,S,1,
68,249180160,BRENNA,2012,1,7,2.5,,-1.8,,0.5,,-4.5,,5.5,,W,0,9.0
69,249180160,BRENNA,2012,1,8,2.8,,0.5,,1.5,,-0.4,,8.1,,S,0,9.0
70,249180160,BRENNA,2012,1,9,2.0,,0.2,,0.8,,-0.2,,7.4,,S,0,9.0
71,249180160,BRENNA,2012,1,10,2.9,,0.1,,1.5,,-0.2,,7.3,,W,2,
72,249180160,BRENNA,2012,1,11,3.7,,0.5,,2.3,,0.0,,1.6,,W,0,9.0
73,249180160,BRENNA,2012,1,12,7.0,,3.4,,4.9,,2.0,,2.3,,S,0,9.0
74,249180160,BRENNA,2012,1,13,4.9,,-0.8,,1.3,,-2.5,,5.7,,S,0,9.0
75,249180160,BRENNA,2012,1,14,0.2,,-3.0,,-1.8,,-2.5,,4.9,,S,7,
76,249180160,BRENNA,2012,1,15,-2.2,,-3.7,,-3.2,,-4.2,,5.6,,S,17,
77,249180160,BRENNA,2012,1,16,-2.2,,-8.3,,-5.0,,-5.3,,4.9,,S,24,
78,249180160,BRENNA,2012,1,17,-0.8,,-4.1,,-2.7,,-4.9,,4.5,,S,24,
79,249180160,BRENNA,2012,1,18,1.1,,-3.6,,-1.3,,-6.4,,2.3,,S,24,
