114;2016-01-01 05:00:00;B006B05100;03
115;2016-01-01 05:00:00;B010A05100;67.0
116;2016-01-01 05:00:00;B005B05100;2016.0
117;2016-01-01 05:10:00;B010A05100;67.0
118;2016-01-01 05:10:00;B005B05100;2016.0
119;2016-01-01 05:10:00;B006B05100;03
120;2016-01-01 05:20:00;B010A05100;66.0
121;2016-01-01 05:20:00;B006B05100;03
122;2016-01-01 05:20:00;B005B05100;2016.0
123;2016-01-01 05:30:00;B006B05100;03
124;2016-01-01 05:30:00;B010A05100;66.0
125;2016-01-01 05:30:00;B005B05100;2016.0
126;2016-01-01 05:40:00;B010A05100;66.0
127;2016-01-01 05:40:00;B005B05100;2016.0
128;2016-01-01 05:40:00;B006B05100;03
129;2016-01-01 05:50:00;B010A05100;66.0
130;2016-01-01 05:50:00;B005B05100;2016.0
131;2016-01-01 05:50:00;B006B05100;03
132;2016-01-01 06:00:00;B006B05100;03
133;2016-01-01 06:00:00;B010A05100;66.0
134;2016-01-01 06:00:00;B010B05100;67.0
135;2016-01-01 06:00:00;B005B05100;2016.0
136;2016-01-01 06:10:00;B010A05100;66.0
137;2016-01-01 06:10:00;B005B05100;2016.0
138;2016-01-01 06:10:00;B006B05100;03
139;2016-01-01 06:20:00;B010A05100;66.0
140;2016-01-01 06:20:00;B006B05100;03
141;2016-01-01 06:20:00;B005B05100;2016.0
142;2016-01-01 06:30:00;B006B05100;03
143;2016-01-01 06:30:00;B010A05100;66.0
144;2016-01-01 06:30:00;B005B05100;2016.0
145;2016-01-01 06:40:00;B010A05100;66.0
146;2016-01-01 06:40:00;B005B05100;2016.0
147;2016-01-01 06:40:00;B006B05100;03
148;2016-01-01 06:50:00;B010A05100;66.0
149;2016-01-01 06:50:00;B005B05100;2016.0
150;2016-01-01 06:50:00;B006B05100;03
151;2016-01-01 07:00:00;B010A05100;66.0
152;2016-01-01 07:00:00;B005B05100;2016.0
153;2016-01-01 07:00:00;B006B05100;03
154;2016-01-01 07:10:00;B005B05100;2016.0
155;2016-01-01 07:10:00;B010A05100;66.0
156;2016-01-01 07:10:00;B006B05100;03
157;2016-01-01 07:20:00;B005B05100;2016.0
158;2016-01-01 07:20:00;B006B05100;03
159;2016-01-01 07:20:00;B010A05100;66.0
160;2016-01-01 07:30:00;B006B05100;03
161;2016-01-01 07:30:00;B010A05100;66.0
162;2016-01-01 07:30:00;B005B05100;2016.0
163;2016-01-01 07:40:00;B006B05100;03
164;2016-01-01 07:40:00;B010A05100;66.0
165;2016-01-01 07:40:00;B005B05100;2016.0
166;2016-01-01 07:50:00;B010A05100;66.0
167;2016-01-01 07:50:00;B005B05100;2016.0
168;2016-01-01 07:50:00;B006B05100;03
169;2016-01-01 08:00:00;B006B05100;03
170;2016-01-01 08:00:00;B010A05100;66.0
171;2016-01-01 08:00:00;B005B05100;2016.0
172;2016-01-01 08:10:00;B010A05100;66.0
173;2016-01-01 08:10:00;B005B05100;2016.0
174;2016-01-01 08:10:00;B006B05100;03
175;2016-01-01 08:20:00;B010A05100;66.0
176;2016-01-01 08:20:00;B006B05100;03
177;2016-01-01 08:20:00;B005B05100;2016.0
178;2016-01-01 08:30:00;B006B05100;03
179;2016-01-01 08:30:00;B010A05100;66.0
180;2016-01-01 08:30:00;B005B05100;2016.0
181;2016-01-01 08:40:00;B010A05100;66.0
182;2016-01-01 08:40:00;B005B05100;2016.0
183;2016-01-01 08:40:00;B006B05100;03
184;2016-01-01 08:50:00;B010A05100;66.0
185;2016-01-01 08:50:00;B005B05100;2016.0
186;2016-01-01 08:50:00;B006B05100;03
187;2016-01-01 09:00:00;B006B05100;03
188;2016-01-01 09:00:00;B010A05100;66.0
189;2016-01-01 09:00:00;B005B05100;2016.0
190;2016-01-01 09:10:00;B010A05100;65.0
191;2016-01-01 09:10:00;B005B05100;2016.0
192;2016-01-01 09:10:00;B006B05100;03
193;2016-01-01 09:20:00;B010A05100;65.0
194;2016-01-01 09:20:00;B006B05100;03
195;2016-01-01 09:20:00;B005B05100;2016.0
196;2016-01-01 09:30:00;B006B05100;03
197;2016-01-01 09:30:00;B010A05100;65.0
198;2016-01-01 09:30:00;B005B05100;2016.0
199;2016-01-01 09:40:00;B010A05100;65.0
200;2016-01-01 09:40:00;B005B05100;2016.0
201;2016-01-01 09:40:00;B006B05100;03
202;2016-01-01 09:50:00;B010A05100;65.0
203;2016-01-01 09:50:00;B005B05100;2016.0
204;2016-01-01 09:50:00;B006B05100;03
205;2016-01-01 10:00:00;B010A05100;65.0
206;2016-01-01 10:00:00;B006B05100;03
207;2016-01-01 10:00:00;B005B05100;2016.0
208;2016-01-01 10:10:00;B006B05100;03
209;2016-01-01 10:10:00;B005B05100;2016.0
210;2016-01-01 10:10:00;B010A05100;65.0
211;2016-01-01 10:20:00;B010A05100;65.0
212;2016-01-01 10:20:00;B006B05100;03
213;2016-01-01 10:20:00;B005B05100;2016.0
214;2016-01-01 10:30:00;B006B05100;03
215;2016-01-01 10:30:00;B010A05100;65.0
216;2016-01-01 10:30:00;B005B05100;2016.0
217;2016-01-01 10:40:00;B010A05100;65.0
218;2016-01-01 10:40:00;B006B05100;03
219;2016-01-01 10:40:00;B005B05100;2016.0
220;2016-01-01 10:50:00;B010A05100;65.0
221;2016-01-01 10:50:00;B006B05100;03
222;2016-01-01 10:50:00;B005B05100;2016.0
223;2016-01-01 11:00:00;B006B05100;03
224;2016-01-01 11:00:00;B010A05100;64.0
225;2016-01-01 11:00:00;B005B05100;2016.0
226;2016-01-01 11:10:00;B010A05100;64.0
227;2016-01-01 11:10:00;B005B05100;2016.0
228;2016-01-01 11:10:00;B006B05100;03
229;2016-01-01 11:20:00;B010A05100;65.0
230;2016-01-01 11:20:00;B006B05100;03
231;2016-01-01 11:20:00;B005B05100;2016.0
232;2016-01-01 11:30:00;B006B05100;03
233;2016-01-01 11:30:00;B010A05100;65.0
234;2016-01-01 11:30:00;B005B05100;2016.0
235;2016-01-01 11:40:00;B010A05100;65.0
236;2016-01-01 11:40:00;B005B05100;2016.0
237;2016-01-01 11:40:00;B006B05100;03
238;2016-01-01 11:50:00;B010A05100;65.0
239;2016-01-01 11:50:00;B005B05100;2016.0
240;2016-01-01 11:50:00;B006B05100;03
241;2016-01-01 12:00:00;B006B05100;03
242;2016-01-01 12:00:00;B010A05100;65.0
